Category,Product Name,Price (INR),Original Price,Rating,Number of Reviews,Product URL,Timestamp
Smartphones,,30998,,,402,,2025-04-25 16:14:46.023209
Smartphones,,72900,,,523,,2025-04-25 16:14:46.023209
Smartphones,,6498,,,"2,875",,2025-04-25 16:14:46.023209
Smartphones,,13998,,,"3,888",,2025-04-25 16:14:46.023209
Smartphones,,8498,,,"2,711",,2025-04-25 16:14:46.023209
Smartphones,,7498,,,"2,711",,2025-04-25 16:14:46.023209
Smartphones,,12498,,,"2,988",,2025-04-25 16:14:46.023209
Smartphones,,18999,,,"4,202",,2025-04-25 16:14:46.023209
Smartphones,,8999,,,"2,623",,2025-04-25 16:14:46.023209
Smartphones,,12119,,,395,,2025-04-25 16:14:46.023209
Laptops,,191990,,,6,,2025-04-25 16:14:46.023209
Laptops,,99900,,,22,,2025-04-25 16:14:46.023209
Laptops,,49990,,,509,,2025-04-25 16:14:46.023209
Laptops,,25990,,,30,,2025-04-25 16:14:46.023209
Laptops,,34990,,,29,,2025-04-25 16:14:46.023209
Laptops,,34490,,,"1,174",,2025-04-25 16:14:46.023209
Laptops,,34990,,,721,,2025-04-25 16:14:46.023209
Laptops,,22990,,,12,,2025-04-25 16:14:46.023209
Laptops,,43990,,,605,,2025-04-25 16:14:46.023209
Laptops,,29990,,,111,,2025-04-25 16:14:46.023209
Smartwatches,,1599,,,"52,268",,2025-04-25 16:14:46.023209
Smartwatches,,11999,,,18,,2025-04-25 16:14:46.023209
Smartwatches,,1399,,,"16,837",,2025-04-25 16:14:46.023209
Smartwatches,,1399,,,581,,2025-04-25 16:14:46.023209
Smartwatches,,1399,,,"17,561",,2025-04-25 16:14:46.023209
Smartwatches,,1499,,,"22,204",,2025-04-25 16:14:46.023209
Smartwatches,,1299,,,875,,2025-04-25 16:14:46.023209
Smartwatches,,1399,,,"16,837",,2025-04-25 16:14:46.023209
Smartwatches,,1499,,,"3,777",,2025-04-25 16:14:46.023209
Smartwatches,,1399,,,"17,561",,2025-04-25 16:14:46.023209
Headphones,,1799,,,"66,928",,2025-04-25 16:14:46.023209
Headphones,,2499,,,"1,634",,2025-04-25 16:14:46.023209
Headphones,,1499,,,"3,197",,2025-04-25 16:14:46.023209
Headphones,,349,,,"417,584",,2025-04-25 16:14:46.023209
Headphones,,1499,,,"116,617",,2025-04-25 16:14:46.023209
Headphones,,1599,,,"190,217",,2025-04-25 16:14:46.023209
Headphones,,3989,,,"19,762",,2025-04-25 16:14:46.023209
Headphones,,799,,,"76,562",,2025-04-25 16:14:46.023209
Headphones,,799,,,"76,562",,2025-04-25 16:14:46.023209
Headphones,,499,,,"2,280",,2025-04-25 16:14:46.023209
Televisions,,43990,,,,,2025-04-25 16:14:46.023209
Televisions,,36990,,,"3,474",,2025-04-25 16:14:46.023209
Televisions,,7499,,,"11,418",,2025-04-25 16:14:46.023209
Televisions,,11499,,,"9,361",,2025-04-25 16:14:46.023209
Televisions,,13499,,,"7,190",,2025-04-25 16:14:46.023209
Televisions,,,,,"4,902",,2025-04-25 16:14:46.023209
Televisions,,15990,,,"7,017",,2025-04-25 16:14:46.023209
Televisions,,14990,,,"12,438",,2025-04-25 16:14:46.023209
Televisions,,32990,,,554,,2025-04-25 16:14:46.023209
Televisions,,9490,,,"7,017",,2025-04-25 16:14:46.023209
Air Conditioners,,,,,69,,2025-04-25 16:14:46.023209
Air Conditioners,,41990,,,191,,2025-04-25 16:14:46.023209
Air Conditioners,,,,,"3,796",,2025-04-25 16:14:46.023209
Air Conditioners,,,,,"1,256",,2025-04-25 16:14:46.023209
Air Conditioners,,34490,,,863,,2025-04-25 16:14:46.023209
Air Conditioners,,33990,,,"3,485",,2025-04-25 16:14:46.023209
Air Conditioners,,30990,,,911,,2025-04-25 16:14:46.023209
Air Conditioners,,26490,,,"1,312",,2025-04-25 16:14:46.023209
Air Conditioners,,30990,,,705,,2025-04-25 16:14:46.023209
Air Conditioners,,36690,,,"1,659",,2025-04-25 16:14:46.023209
